TaxId,SciName,Lineage,Accessions,hexHMB32-2.csv,hexNNS19-2.csv,hexNNS09-1.csv,hexHMB21-3.csv,hexHMB31-3.csv,hexNNS09-3.csv,hexHMB31-2.csv,hexHMB06-3.csv,hexHMB25-1.csv,hexNNS15-1.csv,hexHMB18-3.csv,hexHMB06-2.csv,hexHMB31-1.csv,hexHMB21-2.csv,hexNNS06-3.csv,hexHMB14-3.csv,hexHMB21-1.csv,hexNNS03-1.csv,hexNNS15-3.csv,hexNNS06-1.csv,hexNNS09-2.csv,hexNNS22-1.csv,hexNNS06-2.csv,hexNNS16-3.csv,hexNNS16-1.csv,hexHMB01-1.csv,hexNNS12-3.csv,hexNNS03-2.csv,hexHMB18-2.csv,hexHMB06-1.csv,hexHMB14-2.csv,hexHMB32-3.csv,hexHMB32-1.csv,hexNNS12-2.csv,hexHMB25-3.csv,hexHMB01-2.csv,hexNNS03-3.csv,hexNNS22-2.csv,hexHMB25-2.csv,hexNNS19-3.csv,hexNNS12-1.csv,hexHMB01-3.csv,hexNNS22-3.csv,hexHMB14-1.csv,hexNNS19-1.csv,hexNNS15-2.csv,hexNNS16-2.csv,hexHMB18-1.csv,,
1304,Streptococcus salivarius,cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,['CP009913'],0.00050145,0.00015414,0.00057060,0.00254244,0.00012651,0.00035774,0.00037427,0.00015442,0.00022835,0.00006657,0.00018278,0.00021546,0.00009015,0.00017508,0.00033240,0.00052844,0.00017389,0.00020158,0.00009814,0.00077542,0.00044171,0.00073878,0.00039849,0.00045391,0.00023038,0.00009017,0.00045405,0.00031102,0.00039354,0.00015303,0.00091544,0.00108875,0.00070384,0.00031546,0.00080449,0.00020713,0.00105399,0.00100507,0.00031498,0.00012178,0.00034830,0.00008789,0.00063515,0.00023868,0.00009774,0.00006330,0.00073073,0.00044017,,
760570,Streptococcus parasanguinis ATCC 15912,cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus parasanguinis,['CP002843'],0.00181774,0.00133345,0.00149462,0.00217525,0.00087297,0.00140565,0.00122960,0.00142511,0.00137911,0.00134621,0.00200479,0.00126962,0.00096915,0.00117143,0.00112684,0.00215752,0.00144941,0.00145567,0.00129738,0.00167849,0.00147930,0.00385185,0.00126953,0.00200478,0.00210469,0.00093302,0.00125967,0.00116091,0.00225423,0.00149691,0.00213565,0.00262925,0.00241797,0.00112765,0.00236065,0.00124280,0.00166276,0.00419341,0.00147073,0.00139575,0.00118003,0.00107535,0.00273305,0.00172643,0.00126987,0.00138978,0.00198541,0.00216621,,
349519,Leuconostoc citreum KM20,cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc citreum,['DQ489736'],0.00006679,0.00004655,0.00008874,0.00013924,0.00001964,0.00002529,0.00003079,0.00006056,0.00004507,0.00002391,0.00007218,0.00003472,0.00002766,0.00005901,0.00003656,0.00005338,0.00006956,0.00002117,0.00004052,0.00008423,0.00005834,0.00050055,0.00004260,0.00009399,0.00006946,0.00002744,0.00009532,0.00005940,0.00011244,0.00003269,0.00006650,0.00009912,0.00008969,0.00005915,0.00004842,0.00008877,0.00081207,0.00062901,0.00003446,0.00003151,0.00010109,0.00004136,0.00051966,0.00003282,0.00003095,0.00002187,0.00011983,0.00009669,,
649756,Anaerostipes hadrus,cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes,['FP929061'],0.00771487,0.00651516,0.00691961,0.01670789,0.00153379,0.01173661,0.00584781,0.01348300,0.00371469,0.00304207,0.00339720,0.00827744,0.01155088,0.00303235,0.01190330,0.01293872,0.00991879,0.00411712,0.00525665,0.03449803,0.00918555,0.02086261,0.00807070,0.01016603,0.01192655,0.00379873,0.00910569,0.00310152,0.00755703,0.00689545,0.01988024,0.01360612,0.01490150,0.01284621,0.01178896,0.01533528,0.01371889,0.00826914,0.01193252,0.00486767,0.01407926,0.00331911,0.00981973,0.00863114,0.00642590,0.00365372,0.02295444,0.00454025,,
880074,Barnesiella viscericola DSM 18177,cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; Barnesiella viscericola,['CP007034'],0.01459435,0.00600826,0.00477577,0.00693626,0.00446150,0.00531183,0.00460089,0.00478299,0.00421646,0.01314481,0.00639042,0.00635432,0.00436014,0.01058618,0.00507909,0.00223545,0.00804694,0.00321095,0.01008781,0.00280385,0.00422955,0.01110049,0.00509515,0.00543090,0.00562870,0.00453770,0.01042583,0.00446222,0.00627123,0.00571055,0.00211348,0.00860274,0.01112194,0.00969285,0.00298246,0.00423884,0.00479746,0.01296305,0.00417574,0.00708435,0.00822516,0.00440480,0.01094760,0.00248920,0.00629639,0.00752266,0.00451711,0.00686088,,
717959,Alistipes shahii WAL 8301,cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes shahii,['FP929032'],0.01910223,0.01554410,0.01053861,0.01320005,0.00610844,0.00712218,0.01471477,0.00564492,0.00373573,0.01601690,0.02324022,0.00797562,0.01231411,0.02399127,0.00770174,0.00197711,0.02779349,0.00794016,0.01322205,0.00580568,0.00728816,0.00263125,0.00691456,0.01729338,0.01169964,0.00604112,0.02113864,0.02294716,0.02670441,0.00701431,0.00143743,0.00713375,0.01242622,0.01280359,0.00291422,0.00611784,0.01020370,0.00286505,0.00290298,0.01928758,0.01105663,0.00354659,0.00410727,0.00129184,0.01912864,0.00669340,0.02239876,0.03525690,,
1150423,Bifidobacterium dentium JCM 1195 = DSM 20436,cellular organisms; Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium dentium,['AP012326'],0.00044390,0.00005069,0.00017515,0.00044557,0.00003614,0.00005420,0.00004137,0.00006459,0.00009014,0.00003425,0.00025264,0.00004452,0.00004917,0.00011311,0.00008310,0.00039499,0.00039585,0.00005339,0.00006965,0.00011288,0.00027919,0.00074681,0.00006947,0.00091241,0.00119358,0.00002156,0.00040076,0.00007019,0.00066738,0.00007206,0.00081347,0.00040137,0.00054812,0.00030910,0.00015297,0.00003699,0.00016355,0.00036794,0.00010419,0.00005280,0.00036832,0.00003360,0.00021172,0.00027945,0.00007168,0.00003798,0.00174693,0.00047625,,
246198,Prevotella intermedia 17,cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella intermedia,"['CP003503', 'CP003502']",0.00049323,0.00094034,0.00013934,0.00013821,0.00008329,0.00032521,0.00007505,0.00054501,0.00023135,0.00037226,0.00051924,0.00068467,0.00006761,0.00028720,0.00043545,0.00023059,0.00029868,0.00005062,0.00034762,0.00034733,0.00012362,0.01143241,0.00072619,0.00278193,0.00364094,0.00012153,0.00020397,0.00007667,0.00046971,0.00060842,0.00021390,0.00064512,0.00078606,0.00019335,0.00016728,0.00011836,0.00013856,0.01392348,0.00022361,0.00077665,0.00017115,0.00011632,0.00769488,0.00026752,0.00077788,0.00045520,0.00076127,0.00039687,,
246198,Prevotella intermedia 17,cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella intermedia,"['CP003503', 'CP003502']",0.00017982,0.00007448,0.00003659,0.00002579,0.00024751,0.00009395,0.00023091,0.00001110,0.00002203,0.00002003,0.00002561,0.00001692,0.00018543,0.00004328,0.00014626,0.00002135,0.00006137,0.00001381,0.00002089,0.00009986,0.00002778,0.00346639,0.00021825,0.00096170,0.00133945,0.00000980,0.00002767,0.00002376,0.00002539,0.00001709,0.00001884,0.00019662,0.00033759,0.00004452,0.00002091,0.00002589,0.00003407,0.00433680,0.00001843,0.00006983,0.00002802,0.00001551,0.00234041,0.00003282,0.00007982,0.00002647,0.00024553,0.00001732,,
290053,Bacteroides helcogenes,cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,['NR_076809'],0.00028566,0.00023379,0.00012922,0.00008664,0.00000629,0.00032160,0.00000770,0.00007368,0.00010516,0.00025722,0.00040049,0.00007657,0.00000922,0.00016721,0.00025595,0.00009501,0.00014934,0.00006167,0.00016843,0.00013633,0.00015001,0.00009101,0.00028838,0.00005617,0.00005094,0.00011173,0.00028904,0.00007775,0.00033732,0.00009435,0.00007536,0.00023237,0.00023918,0.00024995,0.00006603,0.00008137,0.00018740,0.00011228,0.00010259,0.00026144,0.00020118,0.00006462,0.00009238,0.00006166,0.00020771,0.00025724,0.00006109,0.00034348,,
1069534,Lactobacillus ruminis ATCC 27782,cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus ruminis,['CP003032'],0.00077580,0.00004138,0.00017359,0.00024857,0.00001886,0.00009395,0.00004811,0.00006157,0.00005508,0.00004459,0.00006054,0.00003027,0.00005327,0.00008065,0.00009307,0.00008220,0.00017287,0.00002439,0.00004749,0.00012330,0.00026947,0.03023392,0.00006816,0.00019601,0.00019565,0.00002940,0.00013632,0.00004644,0.00008524,0.00005052,0.00007315,0.00054600,0.00250891,0.00010113,0.00008584,0.00004808,0.00014765,0.01227858,0.00005931,0.00005195,0.00013212,0.00004394,0.00544300,0.00005072,0.00004806,0.00002417,0.00020207,0.00006783,,
