Legend:,Control Before Study,Control After Study,Patients Before Study,Patients After Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uniqueID,UP name,Lineage( full ),Median_Control_Before_Diet,Mean_Control_Before_Diet,Standard_Deviation_Control_Before_Diet,Interquartile_Range_Control_Before_Diet,Range_Control_Before_Diet,0%_Control_Before_Diet,25%_Control_Before_Diet,50%_Control_Before_Diet,75%_Control_Before_Diet,100%_Control_Before_Diet,Median_Control_After_Diet,Mean_Control_After_Diet,Standard_Deviation_Control_After_Diet,Interquartile_Range_Control_After_Diet,Range_Control_After_Diet,0%_Control_After_Diet,25%_Control_After_Diet,50%_Control_After_Diet,75%_Control_After_Diet,100%_Control_After_Diet,Median_Patient_Before_Diet,Mean_Patient_Before_Diet,Standard_Deviation_Patient_Before_Diet,Interquartile_Range_Patient_Before_Diet,Range_Patient_Before_Diet,0%_Patient_Before_Diet,25%_Patient_Before_Diet,50%_Patient_Before_Diet,75%_Patient_Before_Diet,100%_Patient_Before_Diet,Median_Patient_After_Diet,Mean_Patient_After_Diet,Standard_Deviation_Patient_After_Diet,Interquartile_Range_Patient_After_Diet,Range_Patient_After_Diet,0%_Patient_After_Diet,25%_Patient_After_Diet,50%_Patient_After_Diet,75%_Patient_After_Diet,100%_Patient_After_Diet
UP000001410_AE014075,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,0,5.55E-05,0.000120695,3.50E-05,4.00E-04,0,0,0,3.50E-05,4.00E-04,5.00E-06,3.60E-05,7.46E-05,3.25E-05,0.00024,0,0,5.00E-06,3.25E-05,0.00024,0.00031,0.002718333,0.004384472,0.003475,0.01321,0,4.25E-05,0.00031,0.0035175,0.01321,0.00201,0.0093425,0.016154148,0.0102175,0.0559,0.00017,0.0008825,0.00201,0.0111,0.05607
UP000000439_AE014295,Bifidobacterium longum (strain NCC 2705),cellular organisms; Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum,0.00068,0.001038182,0.000908766,0.00146,0.00246,9.00E-05,0.000265,0.00068,0.001725,0.00255,3.00E-04,0.000633,0.000815857,0.000455,0.0027,4.00E-05,0.0001875,3.00E-04,0.0006425,0.00274,0.000855,0.001550833,0.001603289,0.0013925,0.00547,0.00012,0.00057,0.000855,0.0019625,0.00559,6.00E-05,0.0004225,0.000829075,0.0002275,0.00272,0,3.50E-05,6.00E-05,0.0002625,0.00272
UP000001414_AE015928,Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides thetaiotaomicron,0.00147,0.002364545,0.002756524,0.00179,0.00936,0.00042,0.000775,0.00147,0.002565,0.00978,0.00191,0.003146,0.002809856,0.0034525,0.00929,0.00011,0.001365,0.00191,0.0048175,0.0094,0.00155,0.0117575,0.033004062,0.00184,0.11601,0.00017,0.0008375,0.00155,0.0026775,0.11618,0.00141,0.006975,0.01511407,0.0039025,0.05375,0.00049,0.0008225,0.00141,0.004725,0.05424
UP000001978_AM180355.1,Peptoclostridium difficile (strain 630),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides; Clostridioides difficile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP000002197_AP006841,Bacteroides fragilis (strain YCH46),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides fragilis,0.00097,0.001411818,0.001043866,0.00091,0.00303,6.00E-04,0.00071,0.00097,0.00162,0.00363,0.001335,0.002541,0.003181308,0.0025725,0.01043,2.00E-04,0.0005175,0.001335,0.00309,0.01063,0.014595,0.017935833,0.02336583,0.0222325,0.08279,0.00058,0.001325,0.014595,0.0235575,0.08337,0.010315,0.019651667,0.02455053,0.027275,0.07327,0.00092,0.0015375,0.010315,0.0288125,0.07419
UP000008702_AP009256,Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium adolescentis,0.01931,0.027077273,0.025456377,0.035855,0.07128,4.00E-05,0.00663,0.01931,0.042485,0.07132,0.00471,0.018211,0.020807818,0.0352425,0.05229,0.00069,0.0024775,0.00471,0.03772,0.05298,0.00364,0.007650833,0.011172347,0.00833,0.03673,2.00E-05,6.25E-05,0.00364,0.0083925,0.03675,4.50E-05,0.000475833,0.000780739,0.000565,0.002,0,7.50E-06,4.50E-05,0.0005725,0.002
UP000032727_AP009378,Escherichia coli O25b:H4-ST131,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,0,0.000173636,0.000407168,3.50E-05,0.00131,0,0,0,3.50E-05,0.00131,1.00E-05,7.10E-05,0.00015103,5.50E-05,0.00049,0,2.50E-06,1.00E-05,5.75E-05,0.00049,0.00024,0.001146667,0.001580514,0.00198,0.00405,0,1.75E-05,0.00024,0.0019975,0.00405,0.00115,0.00429,0.005451992,0.007105,0.01542,0.00032,0.00043,0.00115,0.007535,0.01574
UP000008842_AP009380,Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas gingivalis,0,4.55E-06,6.88E-06,1.00E-05,2.00E-05,0,0,0,1.00E-05,2.00E-05,0,1.20E-05,2.78E-05,1.00E-05,9.00E-05,0,0,0,1.00E-05,9.00E-05,0,1.33E-05,2.61E-05,1.25E-05,9.00E-05,0,0,0,1.25E-05,9.00E-05,1.00E-05,3.92E-05,7.90E-05,3.00E-05,0.00027,0,0,1.00E-05,3.00E-05,0.00027
UP000007255_AP010888,Bifidobacterium longum subsp longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. longum,0.00055,0.000760909,0.000608037,0.001185,0.00137,8.00E-05,0.000205,0.00055,0.00139,0.00145,0.000335,0.000471,0.000481766,0.0004325,0.00161,6.00E-05,0.0001475,0.000335,0.00058,0.00167,0.00051,0.001035833,0.001552414,0.000685,0.00553,4.00E-05,0.0002775,0.00051,0.0009625,0.00557,6.00E-05,0.00025,0.000480946,0.0002175,0.00168,0,1.50E-05,6.00E-05,0.0002325,0.00168
UP000001360_AP010889,Bifidobacterium longum subsp infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. infantis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
