Unique ID,UP ID,Present in GFKB v3 (Y/N),Present in GFKB_epilepsy v3 (Y/N),UP taxonomy,UP name,Assembly ID (UP matched),Genome Size (Mb),RefSeq Accession,Plasmid/additional chromosome accessions,GenBank Accession,GenBank record name,NCBI taxonomy,NCBI taxonomy name,Lineage (full),Characteristics,Effect/Function,Curation Notes
UP000001410_AE014075,UP000001410,Y,Y,199310,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),GCA_000007445.1,5.231,NC_004431.1,,AE014075,"Escherichia coli CFT073, complete genome",199310,Escherichia coli CFT073,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,"Escherichia coli is a Gram-negative straight rod, which either uses peritrichous flagella for mobility or is nonmotile. It is a facultatively anaerobic chemoorganotroph capable of both respiratory and fermentative metabolism. E.coli serves a useful function in the body by suppressing the growth of harmful bacterial species and by synthesising appreciable amounts of vitamins. It is an important component of the biosphere. It colonizes the lower gut of animals and survives when released to the natural environment, allowing widespread dissemination to new hosts. Pathogenic E.coli strains are responsible for infection of the enteric, urinary, pulmonary and nervous systems. Uropathogenic strains of Escherichia coli (UPEC) are the most common cause of non-hospital-acquired urinary tract infections, responsible for 70-90% of the 7 million cases of acute cystitis and 250,000 cases of pyelonephritis reported annually in the United States. Strain O6:H1:K? belongs to phylogroup B2. It was isolated at the University of Maryland Hospital. [UP000001410]","Urinary tract infections (UTIs) are among the most common human infections and are a frequent cause of antibiotic therapy. In view of increasing resistance rates against antibiotics, treatment failures become an important issue. In the search for new approaches to treating these infections, the complex interactions of bacterial virulence factors with their host targets need to be deciphered. Bacterial virulence factors are crucial for adherence to host cells, improvement of nutrition of the pathogen, mediation of motility, and manipulation of the inflammatory response of the host. In the case of UTIs, uropathogenic Escherichia coli (UPEC) strains are the predominant cause. They are equipped with a variety of virulence factors including fimbrial adhesins, toxins, invasins, autotransporter proteins, iron-acquisition systems, and flagella (2̐4), together enabling the bacteria to attack host tissues and successfully establish the infection. uropathogenic Escherichia coli strains, such as CFT073, express Toll/IL-1 receptor̐containing (TIR-containing) protein C (TcpC), which impairs TLR signaling, thereby suppressing innate immunity in the urinary tract and enhancing persistence in the kidneys. [PMID: 27214553]","Escherichia coli Nissle 1917, complete genome (GenBank AC CP007799) and Escherichia coli ATCC 25922, complete genome (GenBank AC CP009072) are mapped to UP000001410. Also referred to as strains ATCC 700928 and UPEC in UniProt."
UP000000439_AE014295,UP000000439,N,Y,206672,Bifidobacterium longum (strain NCC 2705),GCA_000007525.1,2.26,NC_004307,NC_004943.1,AE014295,Bifidobacterium longum NCC2705 complete genome,206672,Bifidobacterium longum NCC2705,cellular organisms; Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum,"Bifidobacterium longum is an anaerobic, non-halophilic, Gram-positive bacterium that is commonly found in the intestines of humans and most animals and insects. They were first isolated and described over one hundred years ago from human feces and were quickly associated with a healthy gastrointestinal tract (GIT) due to their numerical dominance in breast fed infants compared to bottle fed infants. In the neonate their numerical advantage confers a substantial health benefit by hindering pathogen colonization through competitive exclusion. It is important for establishing and maintaining homeostasis of the intestinal ecosystem to allow for normal digestion. B. longum is characterized by a unique hexose metabolism that occurs via a phosphoketolase pathway often termed the bifid shunt. Fructose-6-phosphate phosphoketolase (F6PPK) is a key enzyme of the bifid shunt and its presence is the most common diagnostic test for this genus, as it is not present in other Gram-positive intestinal bacteria. B. longum is often the dominant species detected in humans and is the only species to regularly harbor plasmids. It is a leading member of the probiotic bacteria due to numerous studies that have provided a growing body of evidence for its role in a myriad of potential health benefits. These include diarrhea prevention in antibiotic treated patients, cholesterol reduction, alleviation of lactose intolerance symptoms, immune stimulation and cancer prevention. The stabilizing effect on GIT microflora is attributed to the capacity of bifidobacterium to produce bacteriocins, which are bacteriostatic agents with a broad spectrum of action, and to their pH-reducing activity. Selection of suitable strains for probiotic purposes is very difficult as inherent characteristics of strains of B. longum that are necessary for its survival and competition in the human large intestine are currently very poorly understood. The use of the sequenced genome in microarray analysis reveals pertinent traits that are important to attain dominance in these complex ecosystems. [UP000000439]","The ability of Bifidobacterium spp. to survive and persist in this competitive environment is made possible by use of negative transcriptional regulation as a flexible control mechanism in response to nutrient availability and diversity as well as predicted genetic features such as exo- and endo-glycosyl hydrolases and high affinity oligosaccharide transporters. These features likely help B. longum compete for uptake of structurally diverse oligosaccharides released from digestion of plant fibers. Several studies conducted on fructose-containing polymers as potential selective substrates for colonic bacteria have provided evidence that bifidobacteria are able to ferment these carbohydrates, particularly the short chains of β-2→1-linked fructosyl units. Recently bifidobacteria were shown to possess only one pathway for the metabolism of glucose, the F6P phosphoketolase (F6PPK) pathway, otherwise known as the bifid shunt. Analyses of fructose fermentation patterns suggested that B. longum could use d-fructose as the sole carbon source; however, the uptake mechanism of fructose into the cell and proteins regulated by fructose remained to be defined. [PMID: 16549425]",
UP000001414_AE015928,UP000001414,Y,Y,226186,Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482),GCA_000011065.1,6.293,NC_004663.1,NC_004703.1,AE015928,"Bacteroides thetaiotaomicron VPI-5482, complete genome",226186,Bacteroides thetaiotaomicron VPI-5482,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides thetaiotaomicron,"The human distal gut microbiota contain more bacterial cells than all of our body's other microbial communities combined. More than 90% of phylogenetic types belong to two divisions, the Bacteroidetes and the Firmicutes, with the remaining types distributed among eight other divisions. Bacteroides thetaiotaomicron is a Gram-negative anaerobe bacterium. It is a dominant member of human distal intestinal microbiota. [UP000001414]","This organism has many types of mobile genetic elements. A large portion of the B. thetaiotaomicron proteome is dedicated to harvesting dietary polysaccharides and metabolizing their liberated sugars. Previous studies in germfree mice revealed that B. thetaiotaomicron stimulates angiogenesis during postnatal intestine development, thereby increasing the host's capacity for absorbing nutrients. B. thetaiotaomicron also regulates synthesis of various gut epithelial glycans, including those with terminal _-linked fucose, that can be harvested by its _-fucosidases. [PMID: 12663928]","Bacteroides thetaiotaomicron VPI-5482 plasmid p5482, complete sequence (GenBank AC AY171301) is mapped to UP000001414. Also referred to as strains ATCC 29148, DSM 2079, NCTC 10582, and E50 in UniProt."
UP000001978_AM180355.1,UP000001978,Y,N,272563,Peptoclostridium difficile (strain 630),GCA_000009205.2,4.298,NC_009089.1,NC_008226.2,AM180355.1,Clostridium difficile 630 complete genome,272563,Clostridioides difficile 630,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides; Clostridioides difficile,"Clostridium difficile is a Gram-positive, anaerobic bacterium that can asymptomatically colonize the intestine of humans and other mammals. It was originally identified as part of the intestinal microbiota of healthy infants. However, when the normal flora is disturbed for instance as a result of antibiotic treatment C. difficile can overgrow and cause potentially fatal disease. [PMID: 25636331] This multiresistant strain that was isolated from a patient with severe pseudomembranous colitis and caused an outbreak of diarrheal disease in a Swiss hospital. Analysis of the 630 genome sequence revealed that approximately 11% consists of mobile genetic elements. Exchange of mobile elements occurs frequently and contributes to the plasticity of the genome of C. difficile. [PMID: 25636331]",This multiresistant strain that was isolated from a patient with severe pseudomembranous colitis and caused an outbreak of diarrheal disease in a Swiss hospital. Analysis of the 630 genome sequence revealed that approximately 11% consists of mobile genetic elements. Exchange of mobile elements occurs frequently and contributes to the plasticity of the genome of C. difficile. [PMID: 25636331],
UP000002197_AP006841,UP000002197,Y,Y,295405,Bacteroides fragilis (strain YCH46),GCA_000009925.1,5.311,NC_006347.1,NC_006297.1,AP006841,"Bacteroides fragilis YCH46 DNA, complete genome",295405,Bacteroides fragilis YCH46,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides fragilis,"Bacteroides fragilis is a Gram-negative rod, which represents a large part of the colonic bacteria flora. It is an opportunistic pathogen that can severely limit the success of gastro-intestinal surgery, and is frequently associated with extraintestinal infections such as abscesses and soft tissue infections, as well as diarrheal diseases in animals and humans. (Partially extracted from Karyn's Genomes-EBI). [UP000002197]",This strain contains many moble genetic elements and is tetracycline resistant. [PMID: 15466707],"Bacteroides fragilis YCH46 plasmid pBFY46 DNA, complete sequence (GenBank AC AP006842) is mapped to UP000002197."
UP000008702_AP009256,UP000008702,Y,Y,367928,Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a),GCA_000010425.1,2.09,NC_008618.1,,AP009256,"Bifidobacterium adolescentis ATCC 15703 DNA, complete genome",367928,Bifidobacterium adolescentis ATCC 15703,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium adolescentis,Bifidobacterium adolescentis represents 0.008% of the total number of microbial 16S rDNA sequences found in the gut. [UP000008702],"Bifidobacterium adolescentis ATCC 15703, a gut bacteria, has been associated with allergic individuals in some clinical studies. [PMID: 29633635]","Also referred to as strains DSM 20083, NCTC 11814, and E194a in UniProt. Very little information about the specific strain."
UP000032727_AP009378,UP000032727,Y,Y,941322,Escherichia coli O25b:H4-ST131,GCA_000285655.3,5.249,NZ_HG941718.1,NZ_HG941719.1,AP009378,"Escherichia coli SE15 DNA, complete genome",431946,Escherichia coli SE15,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,"Escherichia coli ST131 is now recognised as a leading contributor to urinary tract and bloodstream infections in both community and clinical settings. Here we present the complete, annotated genome of E. coli EC958, which was isolated from the urine of a patient presenting with a urinary tract infection in the Northwest region of England and represents the most well characterised ST131 strain. [PMID: 25126841]","E. coli ST131 is an uropathogenic, multidrug resistant pathogen. E. coli ST131 belongs to the major subgroup of ST131 strains that produce the CTX-M-15 extended spectrum _-lactamase, are fluoroquinolone resistant and encode the fimH30 type 1 fimbrial adhesin. This subgroup includes the Indian strain NA114 and the North American strain JJ1886. [PMID: 25126841]","Escherichia coli ST131 strain EC958 chromosome, complete genome (GenBank AC HG941718 ) is mapped to UP000032727."
UP000008842_AP009380,UP000008842,Y,Y,431947,Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561),GCA_000010505.1,2.355,NC_010729.1,,AP009380,"Porphyromonas gingivalis ATCC 33277 DNA, complete genome",431947,Porphyromonas gingivalis ATCC 33277,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas gingivalis,"Porphyromonas gingivalis is a Gram-negative anaerobe. It is a secondary colonizer of the oral cavity and has a role in the initiation and progression of periodontal disease, which is the major cause of tooth loss in industrial nations. It is a chronic inflammatory disease of the periodontium that leads to erosion of the attachment apparatus and supporting bone for teeth and is one of the most frequently occurring infectious diseases in humans. Recently, a number of epidemiological studies have shown significant relationships between periodontal diseases and cardiovascular diseases. P.gingivalis, which is often found in deep periodontal pockets of humans, is asaccharolytic and highly proteolytic and produces a broad array of potential virulence factors involved in tissue colonization and destruction as well as host defense perturbation. P. gingivalis strains are divided into virulent and less-virulent strains; ATCC 33277, the type strain, is a less-virulent strain unlike W83, the only other currently sequenced member of the species (PORGI). It produces only a localized abscess 3 days after subcutaneous inoculation (adapted from PubMed 18524787). [UP000008842]","Many epidemiological studies have associated severe forms of periodontitis with atherosclerosis. Porphyromonas gingivalis (P. gingivalis), a Gram-negative oral anaerobe, has been identified as one of the main pathogenic bacteria in periodontitis. The DNA of P. gingivalis has been found in coronary stenotic artery plaques of myocardial infarction patients. Furthermore, animal experiments have shown that P. gingivalis infection directly induces and accelerates atherosclerotic lesion development in pigs and mice. In vivo studies have suggested that P. gingivalis enters the systemic circulation through inflammation-injured epithelial structures; then, this bacterium adheres to and invades vascular endothelial cells, proliferates in host cells, promotes the release of a variety of proinflammatory cytokines and induces atherosclerosis formation. Porphyromonas gingivalis (P. gingivalis), one of the main pathogenic bacteria involved in periodontitis, induces the expression of intercellular adhesion molecule __1 (ICAM-1) and monocyte-endothelial cell adhesion. This effect plays a pivotal role in atherosclerosis development. [PMID: 29482504]","Also referred to as strains DSM 20709, CIP 103683, JCM 12257, NCTC 11834, 2561 in UniProt."
UP000007255_AP010888,UP000007255,Y,Y,565042,Bifidobacterium longum subsp longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b),GCA_000196555.1,2.385,NC_015067.1,,AP010888,"Bifidobacterium longum subsp. longum JCM 1217 DNA, complete genome",565042,Bifidobacterium longum subsp. longum JCM 1217,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. longum,"The human gut is colonized with a wide variety of microorganisms, including species, such as those belonging to the bacterial genus Bifidobacterium, that have beneficial effects on human physiology and pathology. Among the most distinctive benefits of bifidobacteria are modulation of host defence responses and protection against infectious diseases. Bifidobacterium longum subsp. longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b) is a obligate anaerobic, host-associated, Gram-positive bacterium that is commonly found in the intestines of humans and most animals and insects. The genes encoding an ATP-binding-cassette-type carbohydrate transporter present in B. longum subsp. longumcontribute to protect mice against death induced by E. coli O157:H7. This effect can be attributed, at least in part, to increased production of acetate and that translocation of the E. coli O157:H7 Shiga toxin from the gut lumen to the blood is inhibited. Acetate produced by protective B. longum subsp. longum improves intestinal defence mediated by epithelial cells and thereby protects the host against lethal infection. (Adapted from PMID: 21270894). [UP000007255]","The genes encoding an ATP-binding-cassette-type carbohydrate transporter present in B. longum subsp. longumcontribute to protect mice against death induced by E. coli O157:H7. This effect can be attributed, at least in part, to increased production of acetate and that translocation of the E. coli O157:H7 Shiga toxin from the gut lumen to the blood is inhibited. Acetate produced by protective B. longum subsp. longum improves intestinal defence mediated by epithelial cells and thereby protects the host against lethal infection. [UP000007255]","Also referred to as strains ATCC 15707, DSM 20219, NCTC 11818, and E194b in UniProt. This proteome is redundant to UP000286333."
UP000001360_AP010889,UP000001360,Y,Y,391904,Bifidobacterium longum subsp infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12),GCA_000020425.1,2.833,NC_011593.1,,AP010889,"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088 DNA, complete genome",391904,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. infantis,"Bifidobacterium longum is an anaerobic, non-halophilic, Gram-positive bacterium that is commonly found in the intestines of humans and most animals and insects. They were first isolated and described over one hundred years ago from human feces and were quickly associated with a healthy gastrointestinal tract (GIT) due to their numerical dominance in breast fed infants compared to bottle fed infants. In the neonate their numerical advantage confers a substantial health benefit by hindering pathogen colonization through competitive exclusion. It is important for establishing and maintaining homeostasis of the intestinal ecosystem to allow for normal digestion. B. longum is characterized by a unique hexose metabolism that occurs via a phosphoketolase pathway often termed the bifid shunt. Fructose-6-phosphate phosphoketolase (F6PPK) is a key enzyme of the bifid shunt and its presence is the most common diagnostic test for this genus, as it is not present in other Gram-positive intestinal bacteria. B. longum is often the dominant species detected in humans and is the only species to regularly harbor plasmids. It is a leading member of the probiotic bacteria due to numerous studies that have provided a growing body of evidence for its role in a myriad of potential health benefits. These include diarrhea prevention in antibiotic treated patients, cholesterol reduction, alleviation of lactose intolerance symptoms, immune stimulation and cancer prevention. The stabilizing effect on GIT microflora is attributed to the capacity of bifidobacterium to produce bacteriocins, which are bacteriostatic agents with a broad spectrum of action, and to their pH-reducing activity. Selection of suitable strains for probiotic purposes is very difficult as inherent characteristics of strains of B. longum that are necessary for its survival and competition in the human large intestine are currently very poorly understood. The use of the sequenced genome in microarray analysis reveals pertinent traits that are important to attain dominance in these complex ecosystems. Bifidobacterium longum subsp. infantis ATCC15697, is the archetypical human milk oligosaccharide-utilizing bacterium. It was isolated from an infant intestine. [UP000007256]","B. longum is often the dominant species detected in humans and is the only species to regularly harbor plasmids. It is a leading member of the probiotic bacteria due to numerous studies that have provided a growing body of evidence for its role in a myriad of potential health benefits. These include diarrhea prevention in antibiotic treated patients, cholesterol reduction, alleviation of lactose intolerance symptoms, immune stimulation and cancer prevention. The stabilizing effect on GIT microflora is attributed to the capacity of bifidobacterium to produce bacteriocins, which are bacteriostatic agents with a broad spectrum of action, and to their pH-reducing activity. Bifidobacterium longum subsp. infantis ATCC15697, is the archetypical human milk oligosaccharide-utilizing bacterium. [UP000007256]",Also referred to as strains NCTC 11817 and S12 [Tokyo] in UniProt. This proteome is redundant to UP000001360.
